he	en
המרה ועיבוד	Convert and process
הקטנה לגודל מבוקש	Shrink to a target size
למשל ״שייכנס ל-200MB לוואטסאפ/גוגל ׳אט״ - באיכות הכי טובה שנכנסת	Like “under 200MB for a messaging app” - best quality that fits
עוצמת שמע, המרה, דחיסה לגודל, חילוץ אודיו ועוד	Volume, conversion, compress to a size, extract audio and more
מידע	Information
פרטי הקובץ	File details
ערוצים, רזולוציה, אורך וגודל	Tracks, resolution, length and size
הכתוביות שלי	My subtitles
מה כדאי לתקן בכתוביות, ותיקון אוטומטי	What's worth fixing in the subtitles, and automatic fixes
הכתובית הוזזה ל-{0}.  לביטול - Ctrl+Z.	The subtitle was moved to {0}.  To undo - Ctrl+Z.
תצוגה מקדימה	Preview
לא נפתח סרט	No video is open
ניגון / עצירה (מקש הרווח)	Play / pause (space bar)
אחורה שתי שניות (חץ שמאלה, או Ctrl+חץ תוך כדי כתיבה)	Back two seconds (left arrow, or Ctrl+arrow while typing)
לכתובית הקודמת	To the previous subtitle
לכתובית הבאה (Tab)	To the next subtitle (Tab)
קדימה שתי שניות (חץ ימינה, או Ctrl+חץ תוך כדי כתיבה)	Forward two seconds (right arrow, or Ctrl+arrow while typing)
עוצמת ההשמעה בתוכנה (לא משנה את הקובץ)	Playback volume in the program (doesn't change the file)
מהירות השמעה. האטה עוזרת לתפוס בדיוק את הרגע שבו מתחיל הדיבור	Playback speed. Slowing down helps catch the exact moment the speech starts
לא משנה את הקובץ, רק את ההשמעה כאן	Doesn't change the file, only playback here
איטי יותר - נוח לתזמון מדויק	Slower - handy for precise timing
מהיר יותר - למעבר מהיר על החומר	Faster - to go through the material quickly
המהירות הרגילה	Normal speed
מהירות השמעה: {0}	Playback speed: {0}
לתזמן לבד	Time it for me
התוכנה תזהה את השתיקות בסרט ותחלק לפיהן את השורות.	The program will find the pauses in the video and split the lines by them.
בלי אינטרנט. אפשר לבטל ב-Ctrl+Z.	Offline. You can undo with Ctrl+Z.
כאן נגמר	Ends here
סוגר את הכתובית הנוכחית כאן, בלי להתחיל את הבאה.	Closes the current subtitle here, without starting the next one.
שימושי כשיש שקט בין משפטים. (מקש Backspace)	Useful when there's silence between sentences. (Backspace key)
יוצר כתובית במקום שבו הסרט עומד, עוצר, ושם את הסמן במקום לכתיבה (Ctrl+N)	Makes a subtitle where the video is, pauses, and puts the cursor ready for typing (Ctrl+N)
הטקסט שיופיע על המסך	The text that will appear on screen
בחרו כתובית, או צרו חדשה	Choose a subtitle, or make a new one
עריכת טקסט	Edit text
מ־	From
הזמן שבו הכתובית מופיעה. אפשר גם לגרור את הבלוק על הציר.	When the subtitle appears. You can also drag the block on the timeline.
מקדים את ההתחלה בעשירית שנייה	Starts a tenth of a second earlier
מאחר את ההתחלה בעשירית שנייה	Starts a tenth of a second later
עד	To
הזמן שבו הכתובית נעלמת.	When the subtitle disappears.
מקדים את הסיום בעשירית שנייה	Ends a tenth of a second earlier
מאחר את הסיום בעשירית שנייה	Ends a tenth of a second later
מוחק את הכתוביות המסומנות (Delete)	Deletes the selected subtitles (Delete)
הקודמת	Previous
מעבר לכתובית שלפני זו (Shift+Tab)	Go to the subtitle before this one (Shift+Tab)
הבאה	Next
מעבר לכתובית שאחרי זו (Tab)	Go to the subtitle after this one (Tab)
עוד	More
חלוקה לשתיים, חיבור כתוביות	Split in two, join subtitles
מהסרט	From video
לוקח את הזמן שבו הסרט עומד עכשיו כזמן ההופעה (מקש Q)	Takes the time the video is at now as the start (Q key)
לוקח את הזמן שבו הסרט עומד עכשיו כזמן ההיעלמות (מקש W)	Takes the time the video is at now as the end (W key)
כוונון תזמון	Timing adjustment
לפתוח פרויקט חדש?	Start a new project?
הכתוביות שלא נשמרו יאבדו. הסרט ייסגר והתוכנה תחזור למסך הפתיחה.	Unsaved subtitles will be lost. The video will close and the program will go back to the start screen.
הרשימה כבר ריקה.	The list is already empty.
יימחקו {0} כתוביות. הסרט יישאר פתוח, ואפשר לבטל ב-Ctrl+Z.	{0} subtitles will be deleted. The video stays open, and you can undo with Ctrl+Z.
למחוק הכול	Delete all
להמשיך	Continue
קודם פותחים או יוצרים כתוביות.	Open or make subtitles first.
אין מה לתרגם	Nothing to translate
צריך קודם לטעון או לכתוב כתוביות.	Load or write subtitles first.
התרגום לא הושלם	The translation didn't finish
תרגום אוטומטי	Automatic translation
הכתוביות תורגמו ל{0}. לביטול - Ctrl+Z.	The subtitles were translated into {0}. To undo - Ctrl+Z.
כתוביות - {0}.srt	Subtitles - {0}.srt
נשמר: {0}	Saved: {0}
לא נשמר	Not saved
״{0}״	“{0}”
להחליף ב״{0}״	Replace with “{0}”
אין הצעות	No suggestions
אפשר לתקן ביד בתיבת הטקסט	You can fix it by hand in the text box
להוסיף למילון	Add to dictionary
המילה תיחשב נכונה מעכשיו, בכל הכתוביות	Counts as correct from now on, in every subtitle
לחלק לשתי כתוביות	Split into two subtitles
מחלק במקום שבו נמצא הסמן	Splits where the cursor is
לחבר כתוביות לאחת	Join subtitles into one
מאחד את המסומנות	Merges the selected ones
מוחק את המסומנות (Delete)	Deletes the selected ones (Delete)
מסמנת מילים שאולי כתובות לא נכון · מילון חינמי, פעם אחת	Marks words that may be misspelled · a free dictionary, once
כבויה · לחיצה מדליקה אותה	Off · click to turn it on
המילון נטען…	Loading the dictionary…
{0} · לחיצה קופצת	{0} · click to jump
כתובית אחת עם מילה חשודה	One subtitle with a suspicious word
{0} כתוביות עם מילים חשודות	{0} subtitles with suspicious words
בדיקת האיות דלוקה. עוד רגע המילים החשודות יסומנו ברשימה.	Spell check is on. In a moment the suspicious words will be marked in the list.
המילון עוד נטען. עוד רגע המילים החשודות יסומנו ברשימה.	The dictionary is still loading. In a moment the suspicious words will be marked in the list.
אין עדיין כתוביות לבדוק.	There are no subtitles to check yet.
לא נמצאו מילים שאולי כתובות לא נכון.	No words that may be misspelled were found.
״{0}״ הוחלפה ב״{1}״.  לביטול - Ctrl+Z.	“{0}” was replaced with “{1}”.  To undo - Ctrl+Z.
״{0}״ נוספה למילון, ולא תסומן יותר.	“{0}” was added to the dictionary and won't be marked again.
בדיקת האיות כבויה. אפשר להדליק אותה שוב: ״כתוביות ← בדיקת איות״.	Spell check is off. You can turn it back on: “Subtitles → Spell check”.
מחלק את הכתובית במקום שבו נמצא הסמן	Splits the subtitle where the cursor is
מאחד את הכתוביות המסומנות	Merges the selected subtitles
תחילת קטע	Section start
מסמן כאן את תחילת הקטע לחיתוך (I)	Marks the start of the section to trim here (I)
אחר כך: ״הסרט ← חיתוך קטע״	Then: “Video → Trim a section”
סוף קטע	Section end
מסמן כאן את סוף הקטע לחיתוך (O)	Marks the end of the section to trim here (O)
ניקוי הסימון שעל הציר	Clear the mark on the timeline
התקרבות לציר (או Ctrl+גלגלת)	Zoom in on the timeline (or Ctrl+Wheel)
התרחקות - להראות יותר מהסרט	Zoom out - show more of the video
ציר הזמן  ·  קטע מסומן {0} – {1}	Timeline  ·  marked section {0} – {1}
ציר הזמן	Timeline
יצירת הסרט	Make the video
הכתוביות שלי  ·  {0}	My subtitles  ·  {0}
מתחילים כאן: לחצו ״פתיחת קובץ״, או פשוט גררו קובץ לתוך החלון.	Start here: click “Open file”, or just drag a file into the window.
עצרו את הסרט איפה שהדיבור מתחיל, ולחצו על הכפתור הכחול ״כתובית חדשה כאן״.	Stop the video where the speech begins, and click the blue “New subtitle here” button.
קטע מסומן: {0} עד {1}   ·   ״הסרט ← חיתוך קטע״ כדי לחתוך אותו.	Marked section: {0} to {1}   ·   “Video → Trim a section” to trim it.
טיפ: גררו בלוק על הציר כדי להזיז אותו, משכו את הקצה כדי להאריך, ולחצו עליו פעמיים כדי לערוך.	Tip: drag a block on the timeline to move it, pull its edge to make it longer, and double-click it to edit.
כתבו כאן מה נאמר בקטע הזה	Type here what's said in this part
משך {0} שניות	Length {0} seconds
מהיר מדי לקריאה	Too fast to read
קצת מהיר	A bit fast
קצב קריאה טוב	Good reading speed
כתובית חדשה	New subtitle
כתובית חדשה ב-{0}.  כתבו את הטקסט.	New subtitle at {0}.  Type the text.
כתבו את מה שנאמר.  Ctrl+רווח ממשיך את הסרט, Ctrl+חצים קופץ שתי שניות.	Type what was said.  Ctrl+Space resumes the video, Ctrl+arrows jump two seconds.
לתזמן מחדש את כל הכתוביות?	Retime all the subtitles?
כל הכתוביות כבר מתוזמנות. אם תמשיכו, הזמנים שלהן יחושבו מחדש לפי השתיקות בסרט. אפשר לבטל ב-Ctrl+Z.	All the subtitles are already timed. If you go on, their times will be worked out again from the pauses in the video. You can undo with Ctrl+Z.
לתזמן מחדש	Retime
לא תוזמן כלום	Nothing was timed
לא נמצא דיבור ברור.	No clear speech was found.
תוזמנו {0} כתוביות	Timed {0} subtitles
הזמנים נקבעו לפי השתיקות בסרט. כדאי לעבור ולבדוק - אם הטקסט לא תואם בדיוק את מה שנאמר, כתובית יכולה לזוז משפט אחד.\r\nאפשר לבטל ב-Ctrl+Z.	The times were set by the pauses in the video. Go over them - if the text doesn't match exactly what was said, a subtitle can be off by one sentence.\r\nYou can undo with Ctrl+Z.
צריך סרט פתוח	A video must be open
התזמון נעשה לפי הדיבור שבסרט. פתחו קודם את הסרט.	Timing follows the speech in the video. Open the video first.
אין פס קול	No audio track
בסרט הזה אין קול, ולכן אין לפי מה לתזמן.	This video has no sound, so there's nothing to time by.
רק רגע	Just a moment
פס הקול עוד נבנה. אפשר לנסות שוב בעוד כמה שניות.	The audio track is still being built. Try again in a few seconds.
לא הצלחתי לקרוא את הקול	Couldn't read the audio
פס הקול של הסרט לא נקרא, ולכן אין לפי מה לתזמן.	The video's audio track couldn't be read, so there's nothing to time by.
קודם צריך טקסט. ״כתוביות ← יצירת כתוביות מטקסט״.	Text is needed first. “Subtitles → Make subtitles from text”.
לא נמצאו מעברי סצנה	No scene changes found
נראה שהסרט מצולם ברצף אחד, בלי חיתוכים - אין למה להצמיד.	The video seems to be one continuous shot, with no cuts - there's nothing to snap to.
הקווים הדקים על ציר הזמן מסמנים את המעברים, וכשגוררים כתובית היא נצמדת אליהם.	The thin lines on the timeline mark the changes, and a subtitle you drag snaps to them.
לא היה מה להזיז	Nothing needed moving
נמצאו {0} מעברי סצנה, וכל הכתוביות כבר מסודרות ביחס אליהם.\r\n{1}	Found {0} scene changes, and all the subtitles already line up with them.\r\n{1}
הוצמדו {0} כתוביות	Snapped {0} subtitles
נמצאו {0} מעברי סצנה. כתוביות שהתחילו או נגמרו עד חצי שנייה ממעבר - הוזזו אליו.\r\n{1}\r\nאפשר לבטל ב-Ctrl+Z.	Found {0} scene changes. Subtitles that started or ended within half a second of a change were moved to it.\r\n{1}\r\nYou can undo with Ctrl+Z.
מעברי הסצנה נמצאים בתמונה של הסרט. פתחו קודם את הסרט.	Scene changes are found in the video's picture. Open the video first.
אין תמונה	No picture
בקובץ הזה יש רק קול, ולכן אין בו מעברי סצנה.	This file only has sound, so it has no scene changes.
אין כתוביות מתוזמנות	No timed subtitles
אין כתוביות להצמיד.	There are no subtitles to snap.
השורות עוד בלי זמנים אמיתיים. קודם לתזמן אותן - למשל בכפתור ״לתזמן לבד״.	The lines don't have real times yet. Time them first - for example with the “Time it for me” button.
מאתר מעברי סצנה בסרט	Finding scene changes in the video
כאן מתחיל:  {0}	It starts here:  {0}
כאן מתחיל	It starts here
סיום התזמון  ·  נשארו {0}  (Esc)	Finish timing  ·  {0} left  (Esc)
{0}  ·  לתזמן בלחיצה	{0}  ·  click to time
יש שורה אחת בלי תזמון	One line has no timing
יש {0} שורות בלי תזמון	{0} lines have no timing
פתחו קודם את הסרט שאליו הטקסט שייך.	First open the video the text belongs to.
לוחצים על הכפתור הכחול (Enter) כשמשפט מתחיל, ועל ״כאן נגמר״ (Backspace) כשהוא נגמר. Esc לסיום.	Click the blue button (Enter) when a sentence starts, and “Ends here” (Backspace) when it ends. Esc to finish.
תזמון בלחיצה	Tap timing
סיום בלחיצה	Finished tapping
סיימתם לתזמן. אפשר לתקן כל שורה בגרירה על הציר, או בשדות הזמן.	You're done timing. You can fix any line by dragging it on the timeline, or in the time fields.
לא נבחרה כתובית	No subtitle selected
בחרו קודם כתובית מהרשימה או מהציר.	Choose a subtitle from the list or the timeline first.
קביעת התחלה	Set the start
קביעת סיום	Set the end
בחרו כתובית ומקמו את הסמן במקום שבו לפצל.	Choose a subtitle and put the cursor where to split.
הסמן לא בתוך הכתובית	The cursor isn't inside the subtitle
הזיזו את הסמן על הציר לאמצע הכתובית, ואז לחצו ״פיצול לשתיים״.	Move the cursor on the timeline into the middle of the subtitle, then click “Split in two”.
פיצול	Split
צריך שתיים לפחות	At least two are needed
סמנו שתי כתוביות או יותר (החזיקו Ctrl ולחצו עליהן), ואז ״איחוד״.	Select two or more subtitles (hold Ctrl and click them), then “Merge”.
איחוד	Merge
הזזה קטנה	Small shift
קובצי וידאו ואודיו|*.mp4;*.mkv;*.avi;*.mov;*.wmv;*.flv;*.webm;*.m4v;*.mpg;*.mpeg;*.ts;*.m2ts;*.3gp;*.mp3;*.wav;*.m4a;*.aac;*.flac;*.ogg;*.wma;*.opus|כל הקבצים|*.*	Video and audio files|*.mp4;*.mkv;*.avi;*.mov;*.wmv;*.flv;*.webm;*.m4v;*.mpg;*.mpeg;*.ts;*.m2ts;*.3gp;*.mp3;*.wav;*.m4a;*.aac;*.flac;*.ogg;*.wma;*.opus|All files|*.*
כל הקבצים שאני מכיר|*.subtext;*.mp4;*.mkv;*.avi;*.mov;*.wmv;*.flv;*.webm;*.m4v;*.mpg;*.mpeg;*.ts;*.m2ts;*.3gp;*.mp3;*.wav;*.m4a;*.aac;*.flac;*.ogg;*.wma;*.opus;*.srt;*.vtt;*.ass;*.ssa;*.sub;*.txt|	All supported files|*.subtext;*.mp4;*.mkv;*.avi;*.mov;*.wmv;*.flv;*.webm;*.m4v;*.mpg;*.mpeg;*.ts;*.m2ts;*.3gp;*.mp3;*.wav;*.m4a;*.aac;*.flac;*.ogg;*.wma;*.opus;*.srt;*.vtt;*.ass;*.ssa;*.sub;*.txt|
סרטים וקובצי קול|*.mp4;*.mkv;*.avi;*.mov;*.wmv;*.flv;*.webm;*.m4v;*.mpg;*.mpeg;*.ts;*.m2ts;*.3gp;*.mp3;*.wav;*.m4a;*.aac;*.flac;*.ogg;*.wma;*.opus|	Videos and audio files|*.mp4;*.mkv;*.avi;*.mov;*.wmv;*.flv;*.webm;*.m4v;*.mpg;*.mpeg;*.ts;*.m2ts;*.3gp;*.mp3;*.wav;*.m4a;*.aac;*.flac;*.ogg;*.wma;*.opus|
קובצי כתוביות|*.srt;*.vtt;*.ass;*.ssa;*.sub;*.txt|פרויקטים|*.subtext|כל הקבצים|*.*	Subtitle files|*.srt;*.vtt;*.ass;*.ssa;*.sub;*.txt|Projects|*.subtext|All files|*.*
בחירת קובץ וידאו או אודיו	Choose a video or audio file
קובצי כתוביות|*.srt;*.vtt;*.ass;*.ssa;*.sub;*.txt|כל הקבצים|*.*	Subtitle files|*.srt;*.vtt;*.ass;*.ssa;*.sub;*.txt|All files|*.*
בחירת קובץ כתוביות	Choose a subtitle file
בחירת קובץ	Choose a file
חסר FFmpeg	FFmpeg missing
בלי הקובץ ffmpeg.exe אי אפשר לפתוח סרטים.	Without ffmpeg.exe, videos can't be opened.
לא הצלחתי לפתוח את הקובץ	Couldn't open the file
ייתכן שהקובץ פגום או בפורמט לא נתמך:\n{0}	The file may be damaged or in an unsupported format:\n{0}
לא הצלחתי לפתוח	Couldn't open it
לא נמצאו תזמונים בקובץ	No timings found in the file
נראה שזה קובץ טקסט רגיל. לייבא אותו כטקסט ולתת לתוכנה לתזמן אוטומטית?	This looks like a plain text file. Import it as text and let the program time it automatically?
כן, כטקסט	Yes, as text
כבר יש כתוביות פתוחות	Subtitles are already open
מה לעשות עם {0} הכתוביות מהקובץ החדש?	What to do with the {0} subtitles from the new file?
להחליף את הקיימות	Replace the current ones
לצרף לקיימות	Add to the current ones
ייבוא	Import
נטענו {0} כתוביות מהקובץ {1}  (קידוד {2})	Loaded {0} subtitles from the file {1}  (encoding {2})
לא הצלחתי לטעון את הכתוביות	Couldn't load the subtitles
ייבוא טקסט	Import text
אין קול בקובץ	No audio in the file
אין מה לתמלל - בקובץ הזה אין פס קול.	Nothing to transcribe - this file has no audio track.
המכסה של {0} נגמרה	The {0} quota has run out
לא נוצרו כתוביות	No subtitles were made
לא זוהה דיבור בקובץ.	No speech was detected in the file.
נוצרו {0} כתוביות.	Made {0} subtitles.
נעצר. {0}	Stopped. {0}
  כדאי לעבור ולתקן.  לביטול - Ctrl+Z.	  Go over them and fix them.  To undo - Ctrl+Z.
תומלל עד {0} ({1} כתוביות).	Transcribed up to {0} ({1} subtitles).
תומלל רק חלק מהסרט - {0} כתוביות.	Only part of the video was transcribed - {0} subtitles.
המכסה של {0} נגמרה באמצע	The {0} quota ran out in the middle
התמלול נעצר באמצע	The transcription stopped in the middle
שלושה קטעים ברצף נכשלו.	Three sections in a row failed.
{0}  ועוד {1}	{0}  and {1} more
קטע אחד לא תומלל	One section wasn't transcribed
כמה קטעים לא תומללו	Some sections weren't transcribed
בקטעים האלה לא התקבל טקסט. אם יש בהם דיבור - כדאי להשלים ידנית:	No text came back for these sections. If there is speech in them, fill it in by hand:
{0}, או לתמלל את השאר דרך גוגל.	{0}, or transcribe the rest through Google.
המכסה של גוגל מתאפסת מחר. אפשר גם לעבור ל-Groq, שנותן עד 8 שעות ביום - בחלון התמלול, ״איפה לתמלל״.	Google's quota resets tomorrow. You can also switch to Groq, which gives up to 8 hours a day - in the transcription window, “Where to transcribe”.
אין מה לשמור	Nothing to save
עוד לא נוצרו כתוביות.	No subtitles have been made yet.
קובץ כתוביות SRT (הכי נפוץ)|*.srt|WebVTT|*.vtt|ASS מעוצב|*.ass|טקסט לתרגום|*.txt	SRT subtitle file (most common)|*.srt|WebVTT|*.vtt|Styled ASS|*.ass|Text for translation|*.txt
שמירה כקובץ SRT - הקובץ המקורי לא ישתנה	Save as an SRT file - the original file won't change
שמירת קובץ הכתוביות	Save the subtitle file
השמטת כתוביות ריקות	Leave out empty subtitles
כל הכתוביות ריקות מטקסט.	All the subtitles are empty.
הכתוביות נשמרו:  {0}‏{1}	The subtitles were saved:  {0}{1}
   (הושמטו {0} כתוביות בלי טקסט)	   ({0} subtitles without text were left out)
פתחו קודם קובץ וידאו.	Open a video file first.
צריך לפחות כתובית אחת כדי להטמיע.	At least one subtitle is needed to embed.
קודם מסמנים קטע	Mark a section first
כך חותכים:\n1. הזיזו את הסמן על הציר לנקודת ההתחלה ולחצו ״סימון התחלה״.\n2. הזיזו לנקודת הסיום ולחצו ״סימון סוף״.\n3. חזרו לכאן - הקטע המסומן יהיה מוכן לחיתוך.	How to trim:\n1. Move the cursor on the timeline to the start point and click “Mark start”.\n2. Move to the end point and click “Mark end”.\n3. Come back here - the marked section will be ready to trim.
אורך: 	Length: 
     גודל: 	     Size: 
מה יש בקובץ	What's in the file
מה לעשות עם {0} הכתוביות שנשלפו?	What to do with the {0} extracted subtitles?
שליפת כתוביות	Extract subtitles
נשלפו {0} כתוביות מתוך הסרט - אפשר לתרגם או לתקן תזמון.	Extracted {0} subtitles from the video - you can translate them or fix the timing.
אין מה להזיז.	Nothing to shift.
אין מה לסנכרן.	Nothing to sync.
הוחלפו {0} מופעים ב־{1} כתוביות.  לביטול - Ctrl+Z.	Replaced {0} matches in {1} subtitles.  To undo - Ctrl+Z.
בעיה אחת	One problem
{0} בעיות	{0} problems
כתובית {0}: {1}	Subtitle {0}: {1}
  (ועוד {0} - הסבר בריחוף על הסימן ברשימה)	  (and {0} - hover over the mark in the list for an explanation)
לחיצה קופצת אליה	Click to jump to it
כל לחיצה קופצת לבאה	Each click jumps to the next one
תיקון	Fix
לתקן אוטומטית	Fix automatically
חפיפות, קצרות ומהירות מדי, שורות ארוכות וריקות · Ctrl+Z מבטל	Overlaps, too short or fast, long or empty lines · Ctrl+Z undoes
לכבות את בדיקת האיות	Turn off spell check
אפשר להדליק שוב מתפריט הכתוביות	You can turn it back on from the Subtitles menu
תיקון אוטומטי	Automatic fix
אין מה לייצא.	Nothing to export.
קובץ טקסט|*.txt	Text file|*.txt
{0} - לתרגום.txt	{0} - for translation.txt
הקובץ נשמר	The file was saved
תרגמו את הטקסט ושמרו את הקובץ.\nחשוב: אל תמחקו את המספרים (#1, #2...) - לפיהם התרגום חוזר בדיוק לתזמון הנכון.	Translate the text and save the file.\nImportant: don't delete the numbers (#1, #2...) - they bring the translation back to exactly the right timing.
צריך קודם לטעון את הכתוביות המקוריות.	Load the original subtitles first.
קובץ טקסט|*.txt|כל הקבצים|*.*	Text file|*.txt|All files|*.*
החזרת תרגום	Bring back a translation
שימו לב	Note
הוחזר בהצלחה	Brought back successfully
עודכנו {0} כתוביות עם התרגום.	Updated {0} subtitles with the translation.
כתובית אחת	One subtitle
נמצאה עבודה שלא נשמרה	Unsaved work was found
בפעם הקודמת התוכנה נסגרה לפני שהעבודה נשמרה:\n{0}  ·  {1}\nלשחזר אותה?	Last time the program closed before the work was saved:\n{0}  ·  {1}\nRestore it?
לשחזר	Restore
לא, תודה	No, thanks
יש כתוביות מהפעם הקודמת ({0}).\nלשחזר אותן?	There are subtitles from last time ({0}).\nRestore them?
פתחו סרט או צרו כתוביות, ואז אפשר לשמור את הפרויקט.	Open a video or make subtitles, and then you can save the project.
פרויקט של Subtext|*{0}	Subtext project|*{0}
הפרויקט לא נשמר	The project wasn't saved
הפרויקט נשמר:  {0}‏   ·   בפעם הבאה הוא יחכה במסך הפתיחה	Project saved:  {0}   ·   next time it will be waiting on the start screen
לא הצלחתי לפתוח את הפרויקט	Couldn't open the project
לפתוח את הפרויקט?	Open the project?
הכתוביות שלא נשמרו יאבדו.	Unsaved subtitles will be lost.
העבודה שוחזרה	The work was restored
נפתח הפרויקט {0}‏	Opened the project {0}
  ·  בלי הסרט	  ·  without the video
הסרט של הפרויקט לא נמצא	The project's video wasn't found
חיפשתי את {0}‏ ולא מצאתי. אולי הוא הועבר לתיקייה אחרת, או שהכונן שלו לא מחובר.\nהכתוביות נפתחות בכל מקרה.	I looked for {0} and didn't find it. Maybe it was moved to another folder, or its drive isn't connected.\nThe subtitles open anyway.
לאתר את הסרט	Find the video
להמשיך בלי הסרט	Go on without the video
איפה הסרט?	Where is the video?

# ---- Model.cs ----
  ·  משך כולל 	  ·  total length 

# ---- Program.cs ----
קרתה תקלה בלתי צפויה:\n\n{0}	Something unexpected went wrong:\n\n{0}

# ---- Project.cs ----
לא הצלחתי לקרוא את הקובץ: {0}	Couldn't read the file: {0}
הקובץ פגום, או שהוא לא פרויקט של התוכנה.	The file is damaged, or it isn't a project of this program.
זה לא קובץ פרויקט של התוכנה.	This isn't a project file of this program.
הפרויקט נשמר בגרסה חדשה יותר של התוכנה, והגרסה הזאת לא יודעת לקרוא אותו. כדאי לעדכן.	The project was saved by a newer version of the program, and this version can't read it. It's worth updating.

# ---- Qa.cs ----
חופפת לכתובית הבאה	overlaps the next one
חופפות לכתובית הבאה	overlap the next one
מהירה מדי לקריאה	is too fast to read
מהירות מדי לקריאה	are too fast to read
קצרה מדי	is too short
קצרות מדי	are too short
נשארת יותר מדי זמן	stays on too long
נשארות יותר מדי זמן	stay on too long
עם שורה ארוכה מדי	with a line that's too long
עם יותר משתי שורות	with more than two lines
עם מילה שאולי שגויה	with a word that may be misspelled
עם מילים שאולי שגויות	with words that may be misspelled
ריקה	is empty
ריקות	are empty
כתובית אחת {0}	One subtitle {0}
{0} כתוביות {1}	{0} subtitles {1}
שתי כתוביות על המסך באותו רגע	Two subtitles on screen at the same moment
אין מספיק זמן לקרוא	Not enough time to read
נעלמות לפני שמספיקים לקרוא	They disappear before they can be read
נשארות אחרי שהדיבור נגמר	They stay after the speech ends
יוצאות מהמסך בטלפון	They go off the screen on a phone
מכסות את התמונה	They cover the picture
אולי שגיאת כתיב	Maybe a spelling mistake
אין בהן טקסט	They have no text
נגמרת אחרי שהכתובית הבאה כבר התחילה, ושתיהן על המסך יחד.	It ends after the next subtitle has already started, and both are on screen together.
{0} תווים בשנייה - אי אפשר לקרוא בזמן. כדאי להאריך אותה, או לקצר את הטקסט.	{0} characters per second - too fast to read in time. Make it longer, or shorten the text.
מופיעה פחות משנייה, ונעלמת לפני שמספיקים לקרוא.	It shows for less than a second and disappears before it can be read.
נשארת {0} שניות. כתובית שנשארת אחרי שהדיבור נגמר מבלבלת; כדאי לפצל או לקצר.	It stays for {0} seconds. A subtitle that stays after the speech ends is confusing; split or shorten it.
שורה ארוכה מ-{0} תווים יוצאת מהמסך בטלפון ובטלוויזיה קטנה.	A line longer than {0} characters goes off the screen on a phone or a small TV.
שלוש שורות ומעלה מכסות את התמונה. כדאי לפצל לשתי כתוביות.	Three lines or more cover the picture. Split it into two subtitles.
אולי יש בה שגיאת כתיב.	It may have a spelling mistake.
״{0}״ אולי כתובה לא נכון{1} קליק ימני על השורה מציע תיקון.	“{0}” may be misspelled{1} Right-click the row for a fix.
 - אולי ״{0}״?	 - maybe “{0}”?
״{0}״ ו-״{1}״{2} אולי כתובות לא נכון. קליק ימני על השורה מציע תיקון.	“{0}” and “{1}”{2} may be misspelled. Right-click the row for a fix.
 ועוד	 and more
אין בה טקסט. אפשר לכתוב, או למחוק אותה.	It has no text. You can write some, or delete it.
חפיפה אחת נפתרה	One overlap fixed
חפיפות נפתרו	overlaps fixed
כתובית אחת הוארכה	One subtitle lengthened
כתוביות הוארכו	subtitles lengthened
כתובית אחת קוצרה	One subtitle shortened
כתוביות קוצרו	subtitles shortened
כתובית אחת סודרה בשתי שורות	One subtitle rearranged into two lines
כתוביות סודרו בשתי שורות	subtitles rearranged into two lines
כתובית ריקה אחת נמחקה	One empty subtitle deleted
כתוביות ריקות נמחקו	empty subtitles deleted
לא היה מה לתקן אוטומטית.	There was nothing to fix automatically.
 {0} שצריך לתקן ביד.	 {0} to fix by hand.
נשארה בעיה אחת	One problem left
נשארו {0} בעיות	{0} problems left
{0}  לביטול - Ctrl+Z.	{0}  To undo - Ctrl+Z.

# ---- Runtime.cs ----
לא הצלחתי להכין את מנוע הווידאו:\n\n{0}\n\nהתיקייה: {1}\n\nאפשר גם פשוט להניח קובץ ffmpeg.exe ליד התוכנה.	Couldn't set up the video engine:\n\n{0}\n\nFolder: {1}\n\nYou can also just put an ffmpeg.exe file next to the program.
אין מה למחוק - המנוע לא נפרס.	Nothing to delete - the engine wasn't set up.
המנוע נמחק מ:\n{0}\nהוא ייפרס מחדש בהפעלה הבאה.	The engine was deleted from:\n{0}\nIt will be set up again at the next start.
אולפן הכתוביות	Subtitle Studio
מכין את מנוע הווידאו · פעם אחת בלבד, כמה שניות	Setting up the video engine · only once, a few seconds
נפרס ליד התוכנה (מצב נייד)	Set up next to the program (portable mode)
נפרס אל תיקיית המשתמש	Set up in the user folder

# ---- SceneCuts.cs ----
מאתר מעברי סצנה	Finding scene changes

# ---- Spell.cs ----
ההורדה בוטלה.	The download was cancelled.
המילון שירד פגום. נסו שוב.	The downloaded dictionary is damaged. Try again.
המילון שירד פגום, או שהוחלף בשרת. נסו שוב.	The downloaded dictionary is damaged, or it was replaced on the server. Try again.
המילון לא נמצא בשרת. כדאי לעדכן את התוכנה ולנסות שוב.	The dictionary wasn't found on the server. Update the program and try again.

# ---- Stt.cs ----
המכסה החינמית של גוגל נגמרה להיום.	Google's free quota has run out for today.
המכסה החינמית של {0} נגמרה לעכשיו. {1}	The {0} free quota has run out for now. {1}
אפשר לנסות שוב בעוד כמה דקות.	You can try again in a few minutes.
אפשר לנסות שוב עכשיו.	You can try again now.
אפשר להמשיך בעוד כ-{0} דקות.	You can go on in about {0} minutes.
